Intellectual property right :Patent

Indicator :5 - Patent grants by technology

Source: WIPO statistics database. Last updated: May 2018

,,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Office,Office (Code),Origin,Technology
"Morocco","MA","Total","24 - Environmental technology",4,1,2,2,3,10,8,2,3,5,5,7,7,13,14,5,8,5,,1,12,24,35,22,26,,4,
"Netherlands","NL","Total","24 - Environmental technology",21,15,14,16,15,10,33,74,85,70,68,52,64,60,49,36,59,61,46,44,54,57,63,78,44,34,49,
"Nicaragua","NI","Total","24 - Environmental technology",,,,,,,,,,,,,,,,,,2,,,,,,,,,,
"North America","R5","Total","24 - Environmental technology",1356,1417,1656,1656,1520,1501,1484,1492,1895,1956,1898,1915,1867,1741,1668,1561,1645,1662,1749,1877,2367,2197,2473,2812,2931,2931,2944,
"Norway","NO","Total","24 - Environmental technology",48,51,45,49,36,44,25,54,66,47,33,30,45,50,35,46,44,35,14,19,25,35,25,26,28,25,36,
"Oceania","R6","Total","24 - Environmental technology",159,189,183,164,170,167,136,136,195,178,171,201,165,134,145,101,86,99,149,165,251,293,284,258,285,362,409,
"Patent Office of the Cooperation Council for the Arab States of the Gulf","GC","Total","24 - Environmental technology",,,,,,,,,,,,,,,,,3,4,,,1,,,,,,,
"Philippines","PH","Total","24 - Environmental technology",10,3,5,5,,,3,11,8,1,,1,,,1,,,1,,,,,,,7,12,3,
"Poland","PL","Total","24 - Environmental technology",82,88,142,106,120,109,105,60,61,78,76,58,59,34,34,72,48,96,97,89,85,68,51,64,80,54,107,
"Portugal","PT","Total","24 - Environmental technology",4,2,16,36,17,24,8,4,15,23,2,4,3,4,6,2,,11,7,1,5,1,1,6,1,2,,
"Republic of Korea","KR","Total","24 - Environmental technology",77,81,109,116,129,257,287,225,416,1048,528,427,515,919,1157,1861,2013,2256,1661,1290,1552,1819,2186,2645,2372,1761,1960,
"Republic of Moldova","MD","Total","24 - Environmental technology",,,,,,,,,,,,,,,,,,,,3,12,6,5,4,5,4,3,
"Romania","RO","Total","24 - Environmental technology",8,15,24,36,41,19,30,14,26,24,13,6,15,6,14,18,22,12,15,14,12,5,9,11,14,12,16,
"Russian Federation","RU","Total","24 - Environmental technology",,,1329,822,528,784,572,899,603,474,432,330,461,528,477,445,472,444,538,552,562,554,617,637,683,730,566,
"Serbia","RS","Total","24 - Environmental technology",,,,,,,,,,,,,,,,,,,,,9,2,5,5,5,10,15,
"Singapore","SG","Total","24 - Environmental technology",5,5,15,6,6,3,,,,,,,,,,,,,,,,,,,,,,
"Slovakia","SK","Total","24 - Environmental technology",,,,,6,10,11,7,25,27,18,27,14,15,12,14,8,8,10,3,3,3,2,4,4,5,5,
"Slovenia","SI","Total","24 - Environmental technology",,,,6,14,4,16,14,10,8,9,7,10,8,9,2,7,4,9,3,4,7,10,9,7,12,4,
"South Africa","ZA","Total","24 - Environmental technology",84,88,104,110,68,70,116,103,101,96,49,53,64,88,79,60,73,67,125,81,120,48,113,90,75,17,,
"Soviet Union","SU","Total","24 - Environmental technology",1057,1207,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spain","ES","Total","24 - Environmental technology",49,47,37,19,25,22,30,26,49,48,50,52,29,43,57,59,52,65,63,67,72,79,56,72,78,58,74,
"Sweden","SE","Total","24 - Environmental technology",,1,,,28,34,42,55,62,55,41,46,54,55,70,40,36,23,27,18,35,29,52,36,25,31,44,
"Switzerland","CH","Total","24 - Environmental technology",56,64,28,35,27,28,24,21,15,11,11,20,14,5,9,13,10,7,12,15,12,8,8,4,8,16,6,
"Tajikistan","TJ","Total","24 - Environmental technology",,,,,,,,,1,,2,,,,,,,,,,,,,,,,,
"Turkey","TR","Total","24 - Environmental technology",7,11,10,17,12,30,15,7,,,,,,,,,,,,,,,,,,,,
"Ukraine","UA","Total","24 - Environmental technology",,,1,,,,,,,1,5,15,32,68,150,41,44,86,90,89,78,115,68,92,56,55,54,
"United Kingdom","GB","Total","24 - Environmental technology",129,101,109,75,104,121,92,99,124,94,85,79,92,91,108,113,85,59,47,54,70,94,86,81,65,79,88,
"United States of America","US","Total","24 - Environmental technology",1169,1231,1359,1411,1337,1371,1393,1407,1754,1711,1692,1741,1662,1596,1473,1307,1433,1383,1478,1575,2087,1912,2138,2418,2577,2558,2486,
"Upper middle-income","W2","Total","24 - Environmental technology",171,157,1585,1187,763,960,814,1088,800,695,695,637,943,1276,1466,1482,1738,1819,2127,2732,2763,4152,5625,6085,6231,8563,10060,
"World","WD","Total","24 - Environmental technology",5748,6049,6465,6184,6212,6434,5801,6446,7040,7728,6693,6816,7593,8357,8697,9201,10245,10702,10199,10535,11973,13902,16210,17229,17008,18374,20805,
"Yugoslavia","YU","Total","24 - Environmental technology",15,10,32,17,6,10,1,2,3,2,,,,1,1,,2,3,4,5,3,2,3,,,,,
"Zambia","ZM","Total","24 - Environmental technology",1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Zimbabwe","ZW","Total","24 - Environmental technology",2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
