,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
36,36,Japan,JP,Total,24 - Environmental technology,898.0,1025.0,1165.0,1254.0,1618.0,1541.0,1133.0,1515.0,1733.0,2056.0,1937.0,1880.0,2193.0,2219.0,2245.0,2371.0,2781.0,3008.0,2779.0,2922.0,3255.0,3539.0,3510.0,3282.0,3138.0,2577.0,2821.0
37,37,Jordan,JO,Total,24 - Environmental technology,,1.0,,,1.0,1.0,,1.0,,4.0,1.0,,,2.0,,1.0,3.0,,,,,,,,,,
38,38,Latin America and the Caribbean,R4,Total,24 - Environmental technology,27.0,13.0,66.0,163.0,69.0,19.0,,,,2.0,5.0,1.0,8.0,4.0,7.0,7.0,6.0,6.0,15.0,50.0,70.0,74.0,58.0,53.0,42.0,50.0,185.0
39,39,Latvia,LV,Total,24 - Environmental technology,,,,3.0,4.0,7.0,18.0,9.0,3.0,4.0,5.0,4.0,5.0,6.0,2.0,2.0,,,1.0,4.0,3.0,8.0,4.0,1.0,5.0,2.0,2.0
40,40,Lithuania,LT,Total,24 - Environmental technology,,,,3.0,11.0,12.0,8.0,6.0,7.0,6.0,3.0,7.0,4.0,13.0,5.0,6.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,6.0,4.0
41,41,Lower middle-income,W3,Total,24 - Environmental technology,18.0,9.0,12.0,12.0,13.0,17.0,20.0,17.0,14.0,13.0,21.0,31.0,56.0,94.0,172.0,47.0,54.0,101.0,99.0,100.0,108.0,161.0,128.0,138.0,113.0,76.0,64.0
42,42,Low-income,W4,Total,24 - Environmental technology,5.0,7.0,5.0,7.0,6.0,3.0,7.0,1.0,1.0,1.0,,10.0,8.0,12.0,1.0,6.0,19.0,4.0,1.0,3.0,3.0,3.0,6.0,11.0,10.0,11.0,10.0
43,43,Luxembourg,LU,Total,24 - Environmental technology,2.0,2.0,7.0,5.0,4.0,5.0,10.0,8.0,3.0,3.0,3.0,5.0,2.0,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,3.0,2.0,6.0
44,44,Malawi,MW,Total,24 - Environmental technology,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
45,45,Malaysia,MY,Total,24 - Environmental technology,,,,,,,,,,,,,,16.0,35.0,36.0,68.0,74.0,23.0,33.0,28.0,30.0,37.0,48.0,46.0,55.0,49.0
46,46,Malta,MT,Total,24 - Environmental technology,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,Mexico,MX,Total,24 - Environmental technology,21.0,7.0,61.0,114.0,44.0,,,,,1.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,1.0,2.0,,2.0,1.0,117.0
48,48,Monaco,MC,Total,24 - Environmental technology,2.0,,,2.0,1.0,1.0,,1.0,3.0,,,1.0,1.0,,,,,,1.0,,,,,,,,
49,49,Morocco,MA,Total,24 - Environmental technology,4.0,1.0,2.0,2.0,3.0,10.0,8.0,2.0,3.0,5.0,5.0,7.0,7.0,13.0,14.0,5.0,8.0,5.0,,1.0,12.0,24.0,35.0,22.0,26.0,,4.0
50,50,Netherlands,NL,Total,24 - Environmental technology,21.0,15.0,14.0,16.0,15.0,10.0,33.0,74.0,85.0,70.0,68.0,52.0,64.0,60.0,49.0,36.0,59.0,61.0,46.0,44.0,54.0,57.0,63.0,78.0,44.0,34.0,49.0
51,51,Nicaragua,NI,Total,24 - Environmental technology,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
52,52,North America,R5,Total,24 - Environmental technology,1356.0,1417.0,1656.0,1656.0,1520.0,1501.0,1484.0,1492.0,1895.0,1956.0,1898.0,1915.0,1867.0,1741.0,1668.0,1561.0,1645.0,1662.0,1749.0,1877.0,2367.0,2197.0,2473.0,2812.0,2931.0,2931.0,2944.0
53,53,Norway,NO,Total,24 - Environmental technology,48.0,51.0,45.0,49.0,36.0,44.0,25.0,54.0,66.0,47.0,33.0,30.0,45.0,50.0,35.0,46.0,44.0,35.0,14.0,19.0,25.0,35.0,25.0,26.0,28.0,25.0,36.0
54,54,Oceania,R6,Total,24 - Environmental technology,159.0,189.0,183.0,164.0,170.0,167.0,136.0,136.0,195.0,178.0,171.0,201.0,165.0,134.0,145.0,101.0,86.0,99.0,149.0,165.0,251.0,293.0,284.0,258.0,285.0,362.0,409.0
55,55,Patent Office of the Cooperation Council for the Arab States of the Gulf,GC,Total,24 - Environmental technology,,,,,,,,,,,,,,,,,3.0,4.0,,,1.0,,,,,,
56,56,Philippines,PH,Total,24 - Environmental technology,10.0,3.0,5.0,5.0,,,3.0,11.0,8.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,7.0,12.0,3.0
57,57,Poland,PL,Total,24 - Environmental technology,82.0,88.0,142.0,106.0,120.0,109.0,105.0,60.0,61.0,78.0,76.0,58.0,59.0,34.0,34.0,72.0,48.0,96.0,97.0,89.0,85.0,68.0,51.0,64.0,80.0,54.0,107.0
58,58,Portugal,PT,Total,24 - Environmental technology,4.0,2.0,16.0,36.0,17.0,24.0,8.0,4.0,15.0,23.0,2.0,4.0,3.0,4.0,6.0,2.0,,11.0,7.0,1.0,5.0,1.0,1.0,6.0,1.0,2.0,
59,59,Republic of Korea,KR,Total,24 - Environmental technology,77.0,81.0,109.0,116.0,129.0,257.0,287.0,225.0,416.0,1048.0,528.0,427.0,515.0,919.0,1157.0,1861.0,2013.0,2256.0,1661.0,1290.0,1552.0,1819.0,2186.0,2645.0,2372.0,1761.0,1960.0
60,60,Republic of Moldova,MD,Total,24 - Environmental technology,,,,,,,,,,,,,,,,,,,,3.0,12.0,6.0,5.0,4.0,5.0,4.0,3.0
61,61,Romania,RO,Total,24 - Environmental technology,8.0,15.0,24.0,36.0,41.0,19.0,30.0,14.0,26.0,24.0,13.0,6.0,15.0,6.0,14.0,18.0,22.0,12.0,15.0,14.0,12.0,5.0,9.0,11.0,14.0,12.0,16.0
62,62,Russian Federation,RU,Total,24 - Environmental technology,,,1329.0,822.0,528.0,784.0,572.0,899.0,603.0,474.0,432.0,330.0,461.0,528.0,477.0,445.0,472.0,444.0,538.0,552.0,562.0,554.0,617.0,637.0,683.0,730.0,566.0
63,63,Serbia,RS,Total,24 - Environmental technology,,,,,,,,,,,,,,,,,,,,,9.0,2.0,5.0,5.0,5.0,10.0,15.0
