,1991_abatement,1992_abatement,1993_abatement,1994_abatement,1995_abatement,1996_abatement,1997_abatement,1998_abatement,1999_abatement,2000_abatement,2001_abatement,2002_abatement,2003_abatement,2004_abatement,2005_abatement,2006_abatement,2007_abatement,2008_abatement,2009_abatement,2010_abatement,2011_abatement,2012_abatement,2013_abatement,2014_abatement,label,1991_gdp_pc,1992_gdp_pc,1993_gdp_pc,1994_gdp_pc,1995_gdp_pc,1996_gdp_pc,1997_gdp_pc,1998_gdp_pc,1999_gdp_pc,2000_gdp_pc,2001_gdp_pc,2002_gdp_pc,2003_gdp_pc,2004_gdp_pc,2005_gdp_pc,2006_gdp_pc,2007_gdp_pc,2008_gdp_pc,2009_gdp_pc,2010_gdp_pc,2011_gdp_pc,2012_gdp_pc,2013_gdp_pc,2014_gdp_pc
Germany,-0.4922760532315138,1.7008824972266865,0.5922237957010665,2.28747394155436,1.7514897411683066,0.39838196893976985,-4.1896705715954035,1.5854506451467074,1.7617502554230207,4.823283486346959,2.437707347462542,5.326175297514254,0.24047638952877293,8.117401785479117,3.8899175180432906,6.122230029656613,15.9081313805317,-0.6089679847806622,1.654780478924792,7.5193280070274255,18.172156702299887,19.05682789546114,7.052870839543004,8.256771003834402,-125.38734676141019,23269.3817972445,26333.537444515,25488.5195189314,27087.5584535617,31729.6997633451,30564.2478058387,27045.7191273318,27340.6728848884,26795.9911316814,23718.746699471,23687.3168928198,25205.164445175,30359.9521525666,34165.9340305131,34696.62091671,36447.8723183195,41814.8190965222,45699.1983232962,41732.707253158,41785.556912554,46810.3279588057,44065.2489082767,46530.9114275776,48042.5634346518
India,1.0850423022707218,-2.5755110851465304,2.33411149497951,12.164439016407485,-9.12981302075653,-3.3986315413575454,3.205233165718411,7.4600708001419065,-0.7096784327514314,-5.252656532314347,-0.844703698709452,-6.318642282007673,13.440517689910834,13.614579290873564,20.301183403718596,15.778263614820517,13.869943503472228,-8.064121183301694,4.331353274691082,10.779329525775523,24.153073875849742,-2.652961101222161,16.07232666092534,0.9383625328127323,-188.372455136541,300.096636589172,313.860110097812,298.217663832502,342.717518681973,370.10135530585,396.014612284923,411.387720784423,409.194385865156,437.586117820096,438.864630447894,447.013896578172,466.200804226263,541.13522787231,621.318376718509,707.008019015027,792.025969759363,1018.16637300127,991.484630405176,1090.3177645434,1345.77015320926,1461.67195733892,1446.98540954319,1452.19537323178,1576.00401817673
Indonesia,1.5243164913117138,4.053605878121646,-2.571291281329291,-3.9050498716270354,2.422980838670199,-0.08877393983224202,-4.59057422647218,8.506250950139219,-2.82573890115345,1.9058381436346679,4.314381035491511,-2.077743953040642,-0.34223149083489446,-0.3469633319949317,0.8889430026623479,-1.9111072014166517,2.7893694879741986,0.859019002499128,1.0517711623890555,7.247213223421873,-6.700592269831329,-1.6637252262599276,2.6850409670613757,1.171497070165774,-26.637140921409216,631.700445697246,681.842867939228,827.782350972939,912.072473370247,1026.2704926429,1137.33272432886,1063.71226560417,463.968575329023,671.107022031128,780.092074398741,747.981745489974,899.555685728332,1064.50944713681,1148.56909618409,1260.92883370077,1586.20503959934,1855.09391519178,2160.52760507385,2254.44559199218,3113.48063451433,3634.27680451777,3687.95399645786,3620.66398109522,3491.59588685069
Italy,9.183490210172852,-0.5100089214763628,-1.743275994726993,1.7115302358648066,-4.2441589629087275,3.6627036462073264,-0.7970688278149396,0.6204174232651738,2.661928641992816,-0.6368476307666882,1.8271990240579399,-3.311870415926741,-1.7832294719380144,7.933013582988224,-5.817254496855433,0.7064749801419339,-3.0738449915835773,6.558716229175637,6.496617524132176,5.637511368739929,3.426812157811824,6.756225846748173,13.432366524056803,9.167467376134297,-88.46893138997513,21884.1043714643,23166.8040626832,18676.9525789183,19273.8441700103,20596.3885757596,23020.0999399922,21779.6243667018,22252.358086231,21936.8231293509,20051.2421548342,20400.8111115225,22196.5067547222,27387.2263150177,31174.561087858,31959.2629518749,33410.7474398337,37698.7866483976,40640.1838581691,36976.8455340664,35849.3731979401,38334.6838499718,34814.1251168487,35370.2752583755,35396.6657242265
Japan,4.594730093858971,-8.468375388442965,6.774969478841271,-14.89125933404398,7.698880523743881,-1.2595588216049407,4.86239183425355,0.03437507670797402,-2.3527526629758526,0.7637750076422662,-1.6704065176831335,1.6746023103676961,10.982339624949617,-2.595294943949824,-9.383091372939823,4.971348458591443,-1.6202162259260717,-1.0185939610658323,-2.2645447603564577,12.849132158479506,13.53021636392171,3.3201279356206896,9.186787350773358,8.70151122014093,-96.88744827586208,28925.0415756881,31464.549046228,35765.9140886748,39268.5668686204,43440.3678678967,38436.9263119118,35021.7190917159,31902.7670955137,36026.5560750168,38532.0408752935,33846.4656414342,32289.3505360726,34808.3909176613,37688.7223359406,37217.648727917,35433.988963743,35275.2284312667,39339.2975731826,40855.1756354596,44507.6763859172,48167.9972684965,48603.4766497749,40454.4474578903,38109.4121125573
Kazakhstan,-0.4850028632942962,-0.28189447354236385,0.9894921078464272,5.702805480422704,-5.29450631236946,-1.1502589175610876,-1.7206553681531975,0.18051428571428474,-0.2383952807440579,5.025036368286543,-1.6086469856658088,4.577925152488591,-0.5612048034982156,-1.8900092666924255,-0.4782981269477542,2.2755884564563953,-1.2724779943728404,-1.7929206281187131,-1.5371250963199152,2.629521449119787,-0.601717006367819,-0.8403847044429913,-0.17039652831538454,0.8361523681263598,-12.93504737299175,1515.03461433251,1515.73765903177,1433.47582691802,1320.31874139024,1288.2387742592,1350.33453500763,1445.56941418299,1468.70242354695,1130.11390750495,1229.00124667231,1490.92708987166,1658.03078544636,2068.12411808473,2874.28829127649,3771.27895733845,5291.57565018652,6771.41479681885,8513.56464506814,7165.22317483703,9070.48825285747,11634.0019047654,12386.7000029472,13890.6317716835,12807.2606866152
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5407.9697828972,,,,16882.4214606658,19300.8614374536,17696.1387554976,14126.8750953342,15391.3457364003,18389.384328289,16540.9676143149,17789.419812619,22071.5696085573,26921.0827767441,35490.2613236708,42717.557253307,45793.9761439148,55571.9980595751,37567.3012105962,38497.6169579293,48268.5912045543,51264.0713358672,48399.8078177184,42996.3152212942
Malaysia,1.3149071421754561,-0.45230635470479363,-0.04871178334961179,1.6023579326501345,-1.0375712738127731,-1.3697181980381474,-1.0818396155202108,0.5738551774589609,2.6718513816119316,-0.4431768420638251,0.2244116957954203,-1.722355700363333,-0.08466814116641164,0.9820676127844683,-0.02867974031013798,0.9782986103400386,0.12698983830836053,1.7073235370651254,-0.8552058415414185,-0.33866218135415593,1.340315463437526,0.8966160404655277,2.3714547412473035,2.22179027699438,-14.122162055598626,2652.1442242715,3111.97687916463,3431.37018621896,3726.34066695431,4328.00001769299,4797.29137097841,4637.32048099747,3263.52098300351,3493.46522940349,4045.17047135901,3915.11504595638,4167.36438653514,4463.67589342594,4955.47774271198,5593.82299540355,6222.98295481975,7269.17114042014,8513.6295414071,7326.74443486459,9071.35698672103,10405.120619133,10779.5075072926,10882.2891042102,11183.729432082
Mexico,-0.5807985665057984,6.8269544986162956,1.9934686016930954,-9.20426543865792,7.849928303867024,2.6307710042698247,-6.912854260087904,-1.3211022771286238,8.68487306144187,-0.75834571505235,-6.9054562792259375,-4.564279465354222,-5.248844934994388,5.1963042775054795,4.189479431397416,-0.492240213764525,-2.867231495371364,7.984348820832608,-9.975335739535975,8.589655489072268,-2.7086221111232334,-1.2930502444014706,-3.0197509971426406,10.632828778973884,-42.277164419112296,3611.44544466372,4093.39278730475,5526.86050703677,5715.40999860321,3828.71702287945,4294.97898334837,5143.96112007388,5327.81190127662,5984.34106789082,6959.38871701489,7341.88247782299,7398.80102021328,6903.94918769848,7310.96163086246,8089.40903640424,8859.71535391932,9412.82793948646,9765.71680588736,7792.24782834386,9016.45781179769,9912.58204257781,9940.46882245558,10400.5631082042,10580.9724723667
Netherlands,0.0901145721528146,0.048330858563621626,0.11403775236262037,0.1514841952855117,0.15679137239246033,0.32347280735304595,0.22129812009104044,0.27471889896661206,0.1064228478902347,0.41745104964589563,0.30604003318380046,0.5498261169069965,0.007984897814020453,1.1593843076994728,1.926943661407165,0.2244567807952702,-0.47288671129656645,1.3571597950052636,0.48130936961270177,0.21860646114131654,0.9931221544675211,0.8527335265528215,-0.1619336857910092,-0.12381207844569353,-9.949677492106453,21454.8628923695,23598.9507648691,22827.3000431587,24331.7540182404,28884.7135222434,28698.6660159512,26404.986730145,27533.6067928156,27951.734289323,25921.1279408277,26584.1216906272,28817.3232079888,35245.1640746805,39954.6422157907,41577.1600883755,44453.9711946212,51241.3156170166,56928.8204756806,51900.3400948453,50338.2548273725,53540.6053553521,49474.705606422,51574.489418462,52157.4068701887
